mfName,MFType,score_raw
Principal Bond,PT,3.656852172237395
BRI Gebyar Indonesia II,PT,0.7702059602488592
Bahana Prime Income Fund,PT,0.7535471845895481
Panin Gebyar Indonesia II,PT,0.7353915231047883
RD Haji Syariah I Hajj,PT,0.7353181212411478
Eastspring Syariah Fixed Income Amanah Kelas B,PT,0.5253697761832318
Insight Renewable Energy Fund,PT,0.5139946390203799
I AM Bond Fund,PT,0.5067890080159677
AXA Bond Income Kelas O,PT,0.4909611376496373
BRI Brawijaya Abadi Pendapatan Tetap,PT,0.4767671184535699
Manulife Dana Tetap Utama,PT,0.472910951448648
SAM Dana Obligasi,PT,0.4679042858750877
Dana Obligasi Stabil,PT,0.4666613956528209
Manulife Dana Tetap Pemerintah,PT,0.4543373892803723
SAM Dana Obligasi Prima,PT,0.435109283492777
BNP Paribas Proxima,PT,0.4331421853478753
Panin Dana Obligasi Bersama Tiga,PT,0.4262134610867306
Allianz Fixed Income Fund 2,PT,0.381860277005968
Majoris Sukuk Negara Indonesia,PT,0.3810045094369674
Sucorinvest Bond Fund,PT,0.3652797371969669
Simas Danamas Instrumen Negara,PT,0.3548744013991345
Eastspring IDR Fixed Income Fund Kelas B,PT,0.3530672839494601
Avrist Prime Bond Fund,PT,0.3398582271816765
Capital Fixed Income Fund,PT,0.3340809965795388
KISI Fixed Income Fund,PT,0.3267483969682299
Bahana Pendapatan Tetap Makara Prima Kelas I,PT,0.3253896381331873
Sequis Pendapatan Stabil,PT,0.3212717862354295
Schroder Prestasi Gebyar Indonesia II,PT,0.2980611980740013
PNM Dana Bertumbuh,PT,0.2888383049262085
SAM Sukuk Syariah Sejahtera,PT,0.2774920975197103
Manulife Obligasi Negara Indonesia II Kelas A,PT,0.2670582574753922
STAR Fixed Income 3,PT,0.2557585597628079
Mandiri Investa Dana Syariah Kelas A,PT,0.2486978032628477
Eastspring Syariah Fixed Income Amanah Kelas A,PT,0.2465923314727384
Bahana Premier Fixed Income Fund,PT,0.2446031307776906
STAR Stable Income Fund Kelas Utama,PT,0.2291430771343806
HPAM Ultima Obligasi Plus,PT,0.2246231704918817
BNP Paribas Prima II Kelas IK1,PT,0.2165314768048834
Mandiri Obligasi Optima 2,PT,0.1997761737869698
PNM Kaffah,PT,0.1977975378920159
HPAM Pendapatan Tetap Prima,PT,0.1972801242842633
Bahana Pendapatan Tetap Makara Prima Kelas G,PT,0.1932012386419548
BRI Melati Pendapatan Utama,PT,0.1886967142140534
PNM Dana Optima Kelas A,PT,0.1858194109146539
BRI Melati Pendapatan Utama II,PT,0.1716399464321287
Sam Dana Pendapatan Tetap,PT,0.1700011792899157
ITB Harmoni BNI-AM,PT,0.1659558236978085
Mandiri Investa Dana Obligasi Seri II Kelas A,PT,0.1651678321985414
BNP Paribas Prima II Kelas RK1,PT,0.159012049591632
Victoria Obligasi Negara Syariah,PT,0.1581164847604167
Bahana Pendapatan Tetap Syariah Generasi Gemilang,PT,0.1573067050562086
Panin Dana Utama Plus 2,PT,0.1564495405032329
Majoris Obligasi Utama Indonesia,PT,0.1304822133877487
UOBAM Inovasi Obligasi Nasional,PT,0.1272650911167414
PNM Surat Berharga Syariah Negara,PT,0.1261433169897082
Danamas Pasti,PT,0.101072156079605
BRI Pendapatan Prima Plus,PT,0.09810851022876943
Danamas Stabil,PT,0.09226508504937384
MNC Dana Likuid,PT,0.09156570851863355
Mandiri Obligasi Utama 2,PT,0.0775421342557727
Simas Syariah Pendapatan Tetap,PT,0.07679978678552776
Eastspring IDR Fixed Income Fund Kelas A,PT,0.07477864360387759
MNC Dana Syariah,PT,0.06018377278660274
Pinnacle Indonesia Bond Fund,PT,0.0588711247534159
Bahana Income Stream,PT,0.05589112970699968
BNI-AM Dana Pendapatan Tetap Syariah Ardhani,PT,0.04524123582708748
Batavia Obligasi Negara Indonesia,PT,0.04456730483936684
Mandiri Obligasi Utama 3,PT,0.04018137807904373
Trimegah Dana Tetap Syariah Kelas A,PT,0.03134438402828136
Bahana Provident Fund,PT,0.01513216314696612
Prospera Obligasi,PT,0.003645628483400228
Panin Dana Pendapatan Utama,PT,-0.002449711064121389
Mega Dana Pendapatan Tetap,PT,-0.01876864765237068
Trim Dana Tetap 2 Kelas A,PT,-0.03010290673444797
PNM Dana Surat Berharga Negara II Kelas A,PT,-0.05807192645552239
Bahana Obligasi Kehati Lestari Kelas G,PT,-0.05929305206442695
Bahana Obligasi Ganesha Kelas G,PT,-0.06473925903478134
Mandiri Obligasi Optima,PT,-0.07430013149420672
Sucorinvest Stable Fund,PT,-0.08048134700817614
Syailendra Fixed Income Fund Kelas A,PT,-0.08124567222753547
Syailendra Pendapatan Tetap Premium,PT,-0.08224864372239976
Pendapatan Tetap Utama Kelas S,PT,-0.1073224291785225
Sequis Bond Optima,PT,-0.1167037509792925
Manulife Obligasi Unggulan Kelas I1,PT,-0.1584300258465171
BNI-AM Quality Long Duration Fund,PT,-0.1746229977698865
Insight Infra Development,PT,-0.1770062835939096
PNM Dana Sejahtera II,PT,-0.1779441117182444
Victoria Fixed Income,PT,-0.1810079510602586
Cipta Bond,PT,-0.1912374752169224
BRI Melati Pendapatan Tetap Multi Plus,PT,-0.1973850394702074
Maybank Dana Obligasi Negara,PT,-0.2014905252971757
Manulife Obligasi Negara Indonesia II Kelas Income 1,PT,-0.2027376019476879
Anargya Supergrowth,PT,-0.2143496431775892
Schroder Dana Mantap Plus II,PT,-0.2222069028398925
Mandiri Obligasi Utama Sejahtera,PT,-0.2405949692316206
Manulife Pendapatan Bulanan II,PT,-0.2504758442196662
Mandiri Investa Dana Utama Kelas A,PT,-0.2566397563125662
Bahana Obligasi Ganesha Kelas D,PT,-0.2598311276324777
Insight Government Fund,PT,-0.2700153285632962
BNP Paribas Obligasi Kejora,PT,-0.2923779609776755
BNI AM Dana Pendapatan Tetap Makara Investasi,PT,-0.2942486327749868
Bahana Obligasi Ganesha Kelas I,PT,-0.3005658978346258
Tram Strategic Plus Kelas A,PT,-0.3008731861203409
Avrist Ada Obligasi Berlian,PT,-0.3046365995325663
Ashmore Dana Obligasi Nusantara Kelas A,PT,-0.317370300014391
Eastspring Investments Yield Discovery Kelas A,PT,-0.3218052392474942
Trimegah Fixed Income Plan,PT,-0.3251697797517029
Insight Scholarship Fund,PT,-0.330134899574924
Avrist Dana Obligasi Sejahtera,PT,-0.3322878913722591
Avrist Sukuk Income Fund,PT,-0.3334164654023457
Bahana Mes Syariah Fund Kelas G,PT,-0.3338530265912173
Simas Pendapatan Optima,PT,-0.339909837016474
Eastspring Investments IDR High Grade Kelas A,PT,-0.3443625438442435
Sucorinvest Monthly Income Fund,PT,-0.3483391370873047
Maybank Dana Pasti 2,PT,-0.3831097833209191
Schroder Dana Andalan II,PT,-0.3862835919367464
Batavia Dana Obligasi Ultima,PT,-0.3976631386087382
Manulife Obligasi Unggulan Kelas A,PT,-0.4037155851261452
Panin Dana Pendapatan Berkala,PT,-0.4232392205847907
Bahana Pendapatan Tetap Abadi 2,PT,-0.4413384322568868
PNM Dana Surat Berharga Negara,PT,-0.4753628588527298
Bahana Apex Fixed Income Fund,PT,-0.4840151241498142
Ashmore Dana Obligasi Unggulan Nusantara Kelas A,PT,-0.5495933495226138
Sequis Pendapatan Mantap,PT,-0.5572432317979858
Avrist Prime Income Fund,PT,-0.586796762502109
BRI Melati Pendapatan Tetap Utama,PT,-0.5900727377716646
BRI Melati Obligasi Negara Indonesia,PT,-0.5947100787880976
Mandiri Obligasi Andalan,PT,-0.5951736212428885
BNP Paribas Obligasi Cemerlang,PT,-0.6010767491293694
Bahana Mes Syariah Fund Kelas D,PT,-0.6299429531021262
Panin Dana Obligasi Bersama,PT,-0.6663465959723389
Bahana Pendapatan Tetap Utama,PT,-0.6677103661225928
Principal Prime Income Fund 4,PT,-0.7433159531664446
Bahana Regular Income Fund,PT,-0.8151419297937424
PNM Optima Bulanan,PT,-0.8515601387919346
BNP Paribas Obligasi Berlian,PT,-0.8704044906294441
Bahana Pendapatan Tetap Regular,PT,-0.8883800393705308
PNM SBN 90,PT,-0.9256377171997817
